Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,WAR,Unnamed: 30
1954,20,MLN,NL,122,509,468,58,131,27,6,13,69,2,2,28,39,.280,.322,.447,.769,104,209,13,3,6,4,0,*79/H,RoY-4,143.0,
1962,22,MLN,NL,141.0,382.0,334.0,54.0,77.0,20.0,2.0,8.0,38.0,6.0,0.0,41.0,58.0,0.231,0.312,0.374,0.686,86.0,125.0,10.0,0.0,4.0,3.0,0.0,*37H/45,,-2.8,
1998,25,CHW,AL,89.0,261.0,244.0,33.0,68.0,14.0,1.0,12.0,41.0,3.0,3.0,9.0,28.0,0.279,0.298,0.492,0.79,104.0,120.0,2.0,0.0,2.0,5.0,1.0,897H/D,,-1.4,
1994,25,FLA,NL,101.0,371.0,345.0,41.0,86.0,17.0,3.0,9.0,33.0,3.0,0.0,16.0,98.0,0.249,0.291,0.394,0.685,76.0,136.0,5.0,5.0,3.0,2.0,1.0,*6/H,,0.5,
2006,25,FLA,NL,111.0,281.0,255.0,39.0,54.0,12.0,2.0,5.0,24.0,6.0,5.0,18.0,78.0,0.212,0.271,0.333,0.604,58.0,85.0,2.0,3.0,4.0,1.0,2.0,8H9/7,,-0.2,
2001,23,TBD,AL,79.0,335.0,304.0,43.0,82.0,17.0,1.0,5.0,33.0,8.0,3.0,27.0,35.0,0.27,0.328,0.382,0.71,90.0,116.0,3.0,0.0,3.0,1.0,1.0,4/H,,0.0,
1947,25,CHC,NL,47,161,140,24,39,6,3,4,20,0,0,20,32,.279,.369,.450,.819,120,63,5,0,0,,0,7/H,,0.1,
1989,23,SDP,NL,57.0,108.0,102.0,13.0,18.0,4.0,0.0,2.0,14.0,1.0,0.0,5.0,20.0,0.176,0.213,0.275,0.487,38.0,28.0,1.0,0.0,0.0,1.0,2.0,87H/9,,-1.3,
1951,27,BRO,NL,67,186,150,27,42,8,0,3,19,3,2,36,26,.280,.419,.393,.813,118,59,5,0,0,,1,7H,,8.5,
1997,23,HOU,NL,59,210,188,22,47,10,2,3,26,7,2,21,48,.250,.329,.372,.701,87,70,0,1,0,0,0,9H7/8,,60.2,
2007,22,LAD,NL,59.0,178.0,166.0,19.0,45.0,14.0,1.0,2.0,17.0,0.0,0.0,7.0,21.0,0.271,0.309,0.404,0.713,82.0,67.0,5.0,3.0,0.0,2.0,1.0,54H/6,,-0.5,
2011,23,SEA,AL,90.0,376.0,333.0,39.0,91.0,16.0,7.0,6.0,36.0,6.0,0.0,40.0,79.0,0.273,0.348,0.417,0.766,120.0,139.0,3.0,0.0,0.0,3.0,1.0,4/HD3,RoY-6,7.7,
1961,24,BAL,AL,133,428,386,41,102,21,1,9,37,5,2,35,51,.264,.326,.394,.719,95,152,6,2,1,4,4,46/H5,,8.4,
2016,24,COL,NL,121.0,256.0,225.0,25.0,49.0,7.0,3.0,2.0,17.0,2.0,3.0,24.0,47.0,0.218,0.304,0.302,0.607,53.0,68.0,5.0,4.0,3.0,0.0,0.0,H645,,-1.2,
1946,24,CIN,NL,94,346,311,35,76,13,3,4,24,16,3,18,32,.244,.292,.344,.636,82,107,7,3,14,,1,4H/95,,15.7,
1943,28,TOT,NL,119.0,485.0,429.0,49.0,108.0,15.0,7.0,4.0,39.0,2.0,5.0,43.0,71.0,0.252,0.32,0.347,0.667,96.0,149.0,8.0,0.0,12.0,,0.0,*8/H,,8.8,
2013,26,NYY,AL,43,152,140,10,27,5,1,2,13,0,0,9,43,0.193,0.252,0.286,0.537,49.0,40,4,2,1,0,0,5/43H,,-0.4,
1975,27,SFG,NL,61.0,103.0,90.0,10.0,27.0,2.0,1.0,4.0,15.0,1.0,0.0,11.0,25.0,0.3,0.379,0.478,0.856,133.0,43.0,1.0,1.0,0.0,1.0,0.0,H7/9,,-1.3,
1949,21,CHW,AL,56,218,208,26,61,5,3,0,16,1,2.0,9,16,0.293,0.323,0.346,0.669,80.0,72,3.0,0.0,1,,0.0,87/H9,,-0.2,
2017,27,ATL,NL,85.0,122.0,109.0,19.0,30.0,4.0,1.0,5.0,20.0,10.0,0.0,10.0,37.0,0.275,0.339,0.468,0.807,109.0,51.0,3.0,1.0,1.0,1.0,0.0,H78/9,,0.6,
2013,24,STL,NL,108.0,319.0,296.0,46.0,84.0,14.0,0.0,17.0,51.0,0.0,1.0,23.0,80.0,0.284,0.335,0.503,0.839,129.0,149.0,9.0,0.0,0.0,0.0,0.0,3H,,4.9,
1973,24,MIN,AL,55.0,84.0,66.0,21.0,14.0,2.0,0.0,3.0,6.0,2.0,1.0,17.0,18.0,0.212,0.381,0.379,0.76,112.0,25.0,2.0,1.0,0.0,0.0,0.0,H7D/8,,0.2,
1983,24,CAL,AL,58.0,123.0,112.0,22.0,28.0,2.0,0.0,2.0,6.0,1.0,1.0,5.0,12.0,0.25,0.3,0.321,0.621,73.0,36.0,2.0,3.0,3.0,0.0,0.0,65/H4,,0.8,
2005,24,TOR,AL,139.0,545.0,481.0,68.0,123.0,27.0,5.0,8.0,63.0,11.0,2.0,50.0,57.0,0.256,0.325,0.383,0.707,87.0,184.0,5.0,3.0,3.0,8.0,1.0,*6H,,0.0,
1950,22,CIN,NL,102,399,372,46,109,16,1,8,55,2,6,24,24,.293,.336,.406,.742,94,151,12,0,3,,1,73/H9,,33.5,
1951,25,BSN,NL,85.0,211.0,199.0,23.0,55.0,7.0,0.0,1.0,24.0,3.0,2.0,9.0,10.0,0.276,0.308,0.327,0.634,76.0,65.0,4.0,0.0,3.0,,0.0,H78/9,,0.9,
1988,28,MIL,AL,44.0,97.0,94.0,8.0,25.0,6.0,1.0,1.0,15.0,0.0,1.0,0.0,15.0,0.266,0.258,0.383,0.641,77.0,36.0,1.0,0.0,0.0,3.0,0.0,7DH/93,,-0.6,
2014,29,TEX,AL,44.0,114.0,101.0,13.0,17.0,3.0,0.0,1.0,8.0,3.0,1.0,10.0,27.0,0.168,0.239,0.228,0.467,32.0,23.0,2.0,0.0,1.0,2.0,0.0,7H/9D3,,-0.1,
1945,29,TOT,NL,70.0,174.0,162.0,19.0,47.0,5.0,0.0,2.0,17.0,3.0,4.0,12.0,16.0,0.29,0.339,0.358,0.697,94.0,58.0,1.0,0.0,0.0,,1.0,H7/49,,0.0,
1968,24,HOU,NL,40,112,104,3,19,1,1,0,4,0,0,5,27,0.183,0.227,0.212,0.439,35.0,22,1.0,1,2,0,2.0,2/H,,-1.8,
